id,tipo,bairro,cidade,area_m2,quartos,suites,vagas,valor,status,descricao,endereco_lat,endereco_lng,diferenciais,link_fotos
AV017,Apartamento,Centro,São Paulo,92,2,1,1,1750000,disponivel,"Apartamento de 2 quartos no Centro de São Paulo — a 2 minutos a pé da estação República e próximo ao Theatro Municipal. Andar alto com vista para o vale do Anhangabaú. Acabamento premium, portaria 24h. Região em valorização acelerada.",-23.5455,-46.6370,"localização central, metrô República a pé, vista vale do Anhangabaú, valorização",https://fotos.avoraimoveis.com.br/AV017
AV001,Apartamento,Jardins,São Paulo,187,3,3,2,2950000,disponivel,"Apartamento de alto padrão no coração dos Jardins. Andar alto com vista desobstruída, pé-direito duplo na sala, acabamento em mármore Calacatta e cozinha integrada com ilha em quartzito. Varanda gourmet com churrasqueira e vista para o Parque Trianon.",-23.5651,-46.6583,"pé-direito duplo, varanda gourmet, vista parque, mármore Calacatta, andar alto",https://fotos.avoraimoveis.com.br/AV001
AV002,Cobertura,Itaim Bibi,São Paulo,420,4,4,4,4800000,disponivel,"Cobertura duplex única no Itaim Bibi com rooftop privativo de 120m², piscina aquecida, sala de cinema e home office. Vista 360° para a cidade. Acabamento Deca Hydra e marcenaria assinada. Portaria 24h com acesso biométrico.",-23.5835,-46.6788,"rooftop privativo, piscina aquecida, sala de cinema, vista 360°, duplex",https://fotos.avoraimoveis.com.br/AV002
AV003,Apartamento,Vila Nova Conceição,São Paulo,210,3,2,3,3400000,disponivel,"Planta inteligente com integração entre sala, cozinha e varanda. Dormitório master com closet amplo e banheiro spa com banheira de imersão. Piso em porcelanato 120x120. Lazer completo com piscina térmica, academia e espaço zen.",-23.5949,-46.6698,"banheira de imersão, closet master, piso porcelanato 120x120, lazer completo",https://fotos.avoraimoveis.com.br/AV003
AV004,Casa,Jardim Europa,São Paulo,650,5,5,6,8500000,disponivel,"Casa contemporânea em lote de 800m² no Jardim Europa. Projeto assinado por escritório premiado, com piscina aquecida, quadra de squash, adega climatizada para 500 garrafas e smart home integrado. Quatro suítes no pavimento superior, suite master com terraço privativo.",-23.5720,-46.6760,"projeto assinado, piscina aquecida, quadra de squash, adega 500 garrafas, smart home",https://fotos.avoraimoveis.com.br/AV004
AV005,Apartamento,Moema,São Paulo,155,3,1,2,2100000,disponivel,"Apartamento reformado com curadoria de interiores. Cozinha americana com ilha e eletrodomésticos Miele. Sala de estar com 45m² e varanda de 20m². Condomínio com piscina adulto e infantil, salão de festas e brinquedoteca. Próximo ao Parque do Ibirapuera.",-23.6021,-46.6652,"reforma curada, eletrodomésticos Miele, próximo Ibirapuera, varanda 20m²",https://fotos.avoraimoveis.com.br/AV005
AV006,Apartamento,Brooklin,São Paulo,178,3,3,2,2750000,disponivel,"Empreendimento boutique com apenas 12 unidades. Acabamento europeu com pisos em carvalho americano e bancadas em quartzito. Varanda com pergolado e churrasqueira a gás. Lazer privativo com piscina de borda infinita e spa. Portaria com reconhecimento facial.",-23.6152,-46.6963,"boutique 12 unidades, piso carvalho americano, piscina borda infinita, reconhecimento facial",https://fotos.avoraimoveis.com.br/AV006
AV007,Cobertura,Pinheiros,São Paulo,310,3,3,3,3900000,disponivel,"Cobertura com terraço de 110m² e jardim vertical projetado por paisagista. Planta aberta com mezanino, biblioteca e ateliê. Cozinha profissional com bancada em granito Verde Ubatuba. Vista para o skyline paulistano. Conceito live-work-play.",-23.5629,-46.6939,"terraço 110m², jardim vertical, mezanino, cozinha profissional, vista skyline",https://fotos.avoraimoveis.com.br/AV007
AV008,Apartamento,Alto de Pinheiros,São Paulo,230,4,4,3,3650000,disponivel,"Andar corrido de 230m² em condomínio de casas e apartamentos de altíssimo padrão. Quatro suítes todas com closet e banheiro privativo. Área social com sala de jantar para 16 pessoas. Terraço privativo de 40m² com jardim. Gerador 100% e tecnologia smart.",-23.5488,-46.7162,"andar corrido, 4 suítes closet, terraço jardim 40m², gerador 100%, smart home",https://fotos.avoraimoveis.com.br/AV008
AV009,Casa,Morumbi,São Paulo,480,5,4,6,6200000,disponivel,"Casa térrea em condomínio fechado de alto padrão. Planta em L com integração total entre áreas social e de lazer. Piscina com raia de 18 metros, sauna seca e úmida, e espaço gourmet coberto com forno de pizza. Jardim projetado com espelho d'água.",-23.6078,-46.7186,"térrea, piscina raia 18m, sauna seca e úmida, espaço gourmet, jardim com espelho d'água",https://fotos.avoraimoveis.com.br/AV009
